WasdeNumber,ReportDate,ReportTitle,Attribute,ReliabilityProjection,Commodity,Region,MarketYear,ProjEstFlag,AnnualQuarterFlag,Value,Unit,ReleaseDate,ReleaseTime,ForecastYear,ForecastMonth
609,February 2021,World and U.S Supply and Use for Grains,Output,,Total Grains,World,2018/19,,Annual,2626.29,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Total Supply,,Total Grains,World,2018/19,,Annual,3447.70,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Trade,,Total Grains,World,2018/19,,Annual,430.38,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Total Use,,Total Grains,World,2018/19,,Annual,2640.54,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Ending Stocks,,Total Grains,World,2018/19,,Annual,807.17,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Output,,Total Grains,World,2019/20,(Est.),Annual,2672.65,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Total Supply,,Total Grains,World,2019/20,(Est.),Annual,3479.82,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Trade,,Total Grains,World,2019/20,(Est.),Annual,442.22,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Total Use,,Total Grains,World,2019/20,(Est.),Annual,2669.93,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Ending Stocks,,Total Grains,World,2019/20,(Est.),Annual,809.89,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Output,,Total Grains,World,2020/21,(Proj.),Annual,2716.35,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Total Supply,,Total Grains,World,2020/21,(Proj.),Annual,3526.24,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Trade,,Total Grains,World,2020/21,(Proj.),Annual,469.29,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Total Use,,Total Grains,World,2020/21,(Proj.),Annual,2727.73,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Ending Stocks,,Total Grains,World,2020/21,(Proj.),Annual,798.52,Million Metric Tons,02/09/2021,12:00:00,2021,2
609,February 2021,World and U.S Supply and Use for Grains,Output,,Wheat,World,2018/19,,Annual,730.90,Million Metric Tons,02/09/2021,12:00:00,2021,2
